SlNo,State,District,Latitude,Longitude,event_date
23995,Mizoram,Aizawl,23.494600296020508,92.70439910888672,2024-08-25
23720,Mizoram,Aizawl,23.730243,92.75602722167967,2025-05-30
23734,Mizoram,Aizawl,23.336229,92.787113,2025-05-30
23942,Mizoram,Champhai,23.148208618164062,93.321183,2025-05-31
23945,Mizoram,Khawzawl,23.54405212402344,93.155591,2025-06-14
23946,Mizoram,Khawzawl,23.545766,93.147931,2025-06-14
23947,Mizoram,Khawzawl,23.526599884033203,93.192968,2025-06-14
23944,Mizoram,Khawzawl,23.486306,93.220639,2025-06-12
23024,Mizoram,Kolasib,23.93194444,92.65222222,2023-09-17
23026,Mizoram,Kolasib,23.05805556,92.67583333,2023-08-12
23028,Mizoram,Kolasib,23.05222222,92.67027778,2023-09-12
23030,Mizoram,Kolasib,23.03016667,92.67336111,2023-09-12
23031,Mizoram,Kolasib,23.02280556,92.67255556,2023-09-17
23565,Mizoram,Kolasib,24.48857222,93.36792222,2024-09-28
23566,Mizoram,Kolasib,24.54263333,93.39741944,2024-08-18
23569,Mizoram,Kolasib,24.60372222,93.37223056,2024-07-02
23570,Mizoram,Kolasib,24.66895556,93.33700556,2024-07-02
23573,Mizoram,Kolasib,24.73838889,93.30909722,2024-08-18
23574,Mizoram,Kolasib,24.72074444,93.30899167,2024-07-02
23575,Mizoram,Kolasib,24.716224670410156,93.32551389,2024-08-18
23576,Mizoram,Kolasib,24.70553333,93.33064167,2024-09-28
23578,Mizoram,Kolasib,24.60853333,93.41668333,2024-08-18
23606,Mizoram,Kolasib,23.41421944,93.10569167,2024-08-13
23613,Mizoram,Kolasib,23.56785011291504,93.10472222,2024-09-12
23615,Mizoram,Kolasib,23.56233889,93.11890833,2024-09-12
23619,Mizoram,Kolasib,23.56145278,93.10908889,2024-09-12
23622,Mizoram,Kolasib,23.535600662231445,93.10656944,2024-09-13
23627,Mizoram,Kolasib,23.36966389,93.04609444,2024-07-09
23630,Mizoram,Kolasib,23.54294167,93.23821667,2024-09-24
23637,Mizoram,Kolasib,24.599425,93.30004722,2024-08-24
23638,Mizoram,Kolasib,24.60921944,93.30050278,2024-09-24
